#  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
-26.1293  28.2366  940.202    1  8.8300E-02  1.4717E-03
-26.1293  28.2366  854.077    2  1.3746E-01  3.7627E-03
-26.1293  28.2366  854.077    3  1.3746E-01  6.0538E-03
-26.1293  28.2366  854.077    4  1.3746E-01  8.3449E-03
-26.1293  28.2366  854.077    5  1.3746E-01  1.0636E-02
-26.1293  28.2366  854.077    6  1.3746E-01  1.2927E-02
-26.1293  28.2366  854.077    7  1.3746E-01  1.5218E-02
-26.1293  28.2366  854.077    8  1.3746E-01  1.7509E-02
-26.1293  28.2366  854.077    9  1.3746E-01  1.9800E-02
-26.1293  28.2366  854.077   10  1.3746E-01  2.2091E-02
-26.1293  28.2366  854.077   11  1.3746E-01  2.4382E-02
-26.1293  28.2366  854.077   12  1.3746E-01  2.6674E-02
-26.1293  28.2366  854.077   13  1.3746E-01  2.8965E-02
-26.1293  28.2366  854.077   14  1.3746E-01  3.1256E-02
-26.1293  28.2366  854.077   15  1.3746E-01  3.3547E-02
-26.1293  28.2366  854.077   16  1.3746E-01  3.5838E-02
-26.1293  28.2366  854.077   17  1.3746E-01  3.8129E-02
-26.1293  28.2366  854.077   18  1.3746E-01  4.0420E-02
-26.1293  28.2366  854.077   19  1.3746E-01  4.2711E-02
-26.1293  28.2366  854.077   20  1.3746E-01  4.5002E-02
-26.1292  28.2366  854.077   21  1.3746E-01  4.7293E-02
-26.1292  28.2366  854.077   22  1.3746E-01  4.9584E-02
-26.1292  28.2366  854.077   23  1.3746E-01  5.1875E-02
-26.1291  28.2366  854.077   24  1.3746E-01  5.4166E-02
-26.1291  28.2366  854.077   25  1.3746E-01  5.6458E-02
-26.1291  28.2366  854.077   26  1.3746E-01  5.8749E-02
-26.1287  28.2366  854.077   27  1.3746E-01  6.1040E-02
-26.1283  28.2365  854.077   28  1.3746E-01  6.3331E-02
-26.1283  28.2366  854.077   29  1.3746E-01  6.5622E-02
-26.1283  28.2367  854.077   30  1.3746E-01  6.7913E-02
-26.1283  28.2367  854.077   31  1.3746E-01  7.0204E-02
-26.1283  28.2368  854.077   32  1.3746E-01  7.2495E-02
-26.1283  28.2369  854.077   33  1.3746E-01  7.4786E-02
-26.1260  28.2386  854.077   34  1.3746E-01  7.7077E-02
-26.1215  28.2400  854.077   35  1.3745E-01  7.9368E-02
-26.1160  28.2417  854.077   36  1.3744E-01  8.1658E-02
-26.1105  28.2434  854.077   37  1.3743E-01  8.3949E-02
-26.1079  28.2449  854.077   38  1.3743E-01  8.6239E-02
-26.1088  28.2460  854.077   39  1.3743E-01  8.8530E-02
-26.1095  28.2458  854.077   40  1.3743E-01  9.0820E-02
-26.1238  28.2414  854.077   41  1.3745E-01  9.3111E-02
-26.1912  28.2208  806.391   42  1.7008E-01  9.5946E-02
-26.2469  28.2345  780.010   43  1.8828E-01  9.9084E-02
-26.2781  28.3275  734.301   44  2.1978E-01  1.0275E-01
-26.3166  28.4275  686.085   45  3.1808E-01  1.0805E-01
-26.3493  28.5110  639.189   46  4.5017E-01  1.1555E-01
-26.4225  28.6587  571.150   47  6.4356E-01  1.2628E-01
-26.4995  28.7691  540.359   48  7.3231E-01  1.3848E-01
-26.5427  28.8303  521.314   49  7.8742E-01  1.5161E-01
-26.6046  28.9198  490.177   50  8.7781E-01  1.6624E-01
