#Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532798021,2018-07-28T17:13:41Z,QFA64,"-26.129271,28.236553",0,0,45
1532798114,2018-07-28T17:15:14Z,QFA64,"-26.129288,28.236574",5175,0,116
1532799182,2018-07-28T17:33:02Z,QFA64,"-26.129271,28.236553",5175,0,307
1532799603,2018-07-28T17:40:03Z,QFA64,"-26.129047,28.236574",5175,2,8
1532799626,2018-07-28T17:40:26Z,QFA64,"-26.128839,28.236607",5175,2,8
1532799659,2018-07-28T17:40:59Z,QFA64,"-26.128555,28.236639",5175,2,8
1532799688,2018-07-28T17:41:28Z,QFA64,"-26.128328,28.2365",5175,2,8
1532800008,2018-07-28T17:46:48Z,QFA64,"-26.128269,28.236897",5175,20,8
1532800017,2018-07-28T17:46:57Z,QFA64,"-26.128317,28.237293",5175,22,8
1532800028,2018-07-28T17:47:08Z,QFA64,"-26.128294,28.237768",5175,26,8
1532800039,2018-07-28T17:47:19Z,QFA64,"-26.127724,28.238111",5175,33,8
1532800045,2018-07-28T17:47:25Z,QFA64,"-26.127331,28.238218",5175,15,8
1532800058,2018-07-28T17:47:38Z,QFA64,"-26.126442,28.238508",5175,16,8
1532800069,2018-07-28T17:47:49Z,QFA64,"-26.125628,28.238758",5175,15,8
1532800077,2018-07-28T17:47:57Z,QFA64,"-26.125019,28.238945",5175,15,8
1532800088,2018-07-28T17:48:08Z,QFA64,"-26.124104,28.239229",5175,18,8
1532800095,2018-07-28T17:48:15Z,QFA64,"-26.123611,28.239372",5175,17,8
1532800101,2018-07-28T17:48:21Z,QFA64,"-26.123119,28.239513",5175,18,8
1532800110,2018-07-28T17:48:30Z,QFA64,"-26.122404,28.23975",5175,19,8
1532800116,2018-07-28T17:48:36Z,QFA64,"-26.12188,28.239908",5175,19,8
1532800125,2018-07-28T17:48:45Z,QFA64,"-26.121094,28.240149",5175,19,8
1532800135,2018-07-28T17:48:55Z,QFA64,"-26.120287,28.240383",5175,18,8
1532800147,2018-07-28T17:49:07Z,QFA64,"-26.11932,28.240686",5175,18,8
1532800156,2018-07-28T17:49:16Z,QFA64,"-26.118565,28.240927",5175,18,8
1532800169,2018-07-28T17:49:29Z,QFA64,"-26.11742,28.241302",5175,20,8
1532800179,2018-07-28T17:49:39Z,QFA64,"-26.116364,28.241625",5175,21,8
1532800187,2018-07-28T17:49:47Z,QFA64,"-26.115572,28.241861",5175,22,8
1532800200,2018-07-28T17:50:00Z,QFA64,"-26.114262,28.24226",5175,22,8
1532800206,2018-07-28T17:50:06Z,QFA64,"-26.113667,28.242455",5175,22,8
1532800216,2018-07-28T17:50:16Z,QFA64,"-26.112803,28.24272",5175,21,8
1532800222,2018-07-28T17:50:22Z,QFA64,"-26.112198,28.242905",5175,20,8
1532800229,2018-07-28T17:50:29Z,QFA64,"-26.111685,28.243063",5175,18,8
1532800240,2018-07-28T17:50:40Z,QFA64,"-26.110794,28.243336",5175,17,8
1532800247,2018-07-28T17:50:47Z,QFA64,"-26.1103,28.2435",5175,16,8
1532800256,2018-07-28T17:50:56Z,QFA64,"-26.109695,28.243687",5175,33,8
1532800267,2018-07-28T17:51:07Z,QFA64,"-26.108952,28.243828",5175,33,8
1532800273,2018-07-28T17:51:13Z,QFA64,"-26.108528,28.243933",5175,15,8
1532800282,2018-07-28T17:51:22Z,QFA64,"-26.107939,28.244146",5175,31,8
1532800288,2018-07-28T17:51:28Z,QFA64,"-26.107763,28.24445",5175,30,8
1532800303,2018-07-28T17:51:43Z,QFA64,"-26.107967,28.245447",5175,33,8
1532800313,2018-07-28T17:51:53Z,QFA64,"-26.108183,28.245955",5175,26,8
1532800324,2018-07-28T17:52:04Z,QFA64,"-26.108694,28.246048",5175,21,8
1532800367,2018-07-28T17:52:47Z,QFA64,"-26.108883,28.245966",5175,0,8
1532800443,2018-07-28T17:54:03Z,QFA64,"-26.11009,28.245611",5175,44,8
1532800451,2018-07-28T17:54:11Z,QFA64,"-26.112568,28.244814",5175,80,8
1532800460,2018-07-28T17:54:20Z,QFA64,"-26.116503,28.243605",5175,110,8
1532800481,2018-07-28T17:54:41Z,QFA64,"-26.131187,28.239243",5175,175,8
1532800502,2018-07-28T17:55:02Z,QFA64,"-26.150394,28.233278",5500,212,195
1532800514,2018-07-28T17:55:14Z,QFA64,"-26.161798,28.229687",5850,214,195
1532800526,2018-07-28T17:55:26Z,QFA64,"-26.173483,28.226149",6300,215,195
1532800539,2018-07-28T17:55:39Z,QFA64,"-26.185076,28.222662",6600,223,195
1532800551,2018-07-28T17:55:51Z,QFA64,"-26.197365,28.218859",6800,236,196
1532800563,2018-07-28T17:56:03Z,QFA64,"-26.210911,28.215214",7075,247,188
1532800569,2018-07-28T17:56:09Z,QFA64,"-26.218126,28.214846",7150,255,178
1532800577,2018-07-28T17:56:17Z,QFA64,"-26.228302,28.21714",7250,262,160
1532800584,2018-07-28T17:56:24Z,QFA64,"-26.235031,28.220716",7350,266,148
1532800593,2018-07-28T17:56:33Z,QFA64,"-26.243591,28.228737",7500,272,132
1532800601,2018-07-28T17:56:41Z,QFA64,"-26.250248,28.240356",7650,279,120
1532800608,2018-07-28T17:56:48Z,QFA64,"-26.253342,28.246939",7750,283,112
1532800623,2018-07-28T17:57:03Z,QFA64,"-26.25943,28.269428",8225,288,106
1532800629,2018-07-28T17:57:09Z,QFA64,"-26.261948,28.278084",8425,292,107
1532800644,2018-07-28T17:57:24Z,QFA64,"-26.268637,28.300041",8725,305,109
1532800655,2018-07-28T17:57:35Z,QFA64,"-26.274734,28.318211",9000,316,110
1532800669,2018-07-28T17:57:49Z,QFA64,"-26.281532,28.33675",9300,328,111
1532800680,2018-07-28T17:58:00Z,QFA64,"-26.288748,28.355976",9575,341,112
1532800691,2018-07-28T17:58:11Z,QFA64,"-26.296196,28.375837",9800,354,113
1532800704,2018-07-28T17:58:24Z,QFA64,"-26.304388,28.39633",10150,363,113
1532800716,2018-07-28T17:58:36Z,QFA64,"-26.312582,28.417036",10650,367,113
1532800728,2018-07-28T17:58:48Z,QFA64,"-26.320635,28.438057",11150,370,113
1532800741,2018-07-28T17:59:01Z,QFA64,"-26.329247,28.459185",11725,373,113
1532800752,2018-07-28T17:59:12Z,QFA64,"-26.337627,28.480577",12200,378,113
1532800785,2018-07-28T17:59:45Z,QFA64,"-26.361053,28.541391",13200,396,112
1532800819,2018-07-28T18:00:19Z,QFA64,"-26.38765,28.604771",14425,403,120
1532800827,2018-07-28T18:00:27Z,QFA64,"-26.396748,28.620758",14775,405,123
1532800834,2018-07-28T18:00:34Z,QFA64,"-26.403452,28.631058",15025,405,125
1532800866,2018-07-28T18:01:06Z,QFA64,"-26.441483,28.686338",16000,418,127
1532800897,2018-07-28T18:01:37Z,QFA64,"-26.478012,28.738888",16500,439,127
1532800931,2018-07-28T18:02:11Z,QFA64,"-26.520996,28.799339",17250,456,127
1532800964,2018-07-28T18:02:44Z,QFA64,"-26.564346,28.861343",18250,464,127
1532801023,2018-07-28T18:03:43Z,QFA64,"-26.644918,28.978342",20225,473,127
1532801086,2018-07-28T18:04:46Z,QFA64,"-26.729004,29.097652",22025,483,127
1532801154,2018-07-28T18:05:54Z,QFA64,"-26.824936,29.236362",23800,499,127
1532801186,2018-07-28T18:06:26Z,QFA64,"-26.870417,29.302385",24575,504,127
1532801280,2018-07-28T18:08:00Z,QFA64,"-27.00563,29.497202",27000,514,127
1532801357,2018-07-28T18:09:17Z,QFA64,"-27.116867,29.659147",29625,499,127
1532801421,2018-07-28T18:10:21Z,QFA64,"-27.206772,29.790569",30925,500,127
1532801485,2018-07-28T18:11:25Z,QFA64,"-27.297501,29.924374",31000,508,127
1532801549,2018-07-28T18:12:29Z,QFA64,"-27.390079,30.060495",31000,507,127
1532801604,2018-07-28T18:13:24Z,QFA64,"-27.465683,30.171774",31000,507,127
1532801697,2018-07-28T18:14:57Z,QFA64,"-27.599716,30.369425",31000,507,126
1532801767,2018-07-28T18:16:07Z,QFA64,"-27.699783,30.518257",31000,514,127
1532801816,2018-07-28T18:16:56Z,QFA64,"-27.77125,30.623175",31000,515,127
1532801903,2018-07-28T18:18:23Z,QFA64,"-27.894846,30.808357",31000,517,127
1532801968,2018-07-28T18:19:28Z,QFA64,"-27.989626,30.951126",31000,518,126
1532802031,2018-07-28T18:20:31Z,QFA64,"-28.083252,31.092049",31000,518,126
1532802096,2018-07-28T18:21:36Z,QFA64,"-28.174904,31.229284",31000,519,126
1532802158,2018-07-28T18:22:38Z,QFA64,"-28.263819,31.364298",31000,517,126
1532802220,2018-07-28T18:23:40Z,QFA64,"-28.354706,31.501024",31000,514,126
1532802283,2018-07-28T18:24:43Z,QFA64,"-28.444208,31.637609",31000,514,126
1532802347,2018-07-28T18:25:47Z,QFA64,"-28.535078,31.776608",31000,514,126
1532802409,2018-07-28T18:26:49Z,QFA64,"-28.623596,31.913647",31000,514,126
1532802472,2018-07-28T18:27:52Z,QFA64,"-28.710348,32.046635",31000,515,126
1532802534,2018-07-28T18:28:54Z,QFA64,"-28.800798,32.179279",31000,512,129
1532802597,2018-07-28T18:29:57Z,QFA64,"-28.896286,32.310368",31000,513,129
1532802675,2018-07-28T18:31:15Z,QFA64,"-29.015312,32.476501",31000,513,128
1532802737,2018-07-28T18:32:17Z,QFA64,"-29.105576,32.605152",31000,513,128
1532802798,2018-07-28T18:33:18Z,QFA64,"-29.199425,32.73872",31000,514,128
1532802860,2018-07-28T18:34:20Z,QFA64,"-29.289505,32.865925",31000,513,128
1532802885,2018-07-28T18:34:45Z,QFA64,"-29.326447,32.919106",31000,513,128
1532803041,2018-07-28T18:37:21Z,QFA64,"-29.558807,33.250546",31000,513,128
